Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,659.65307,344438737.395,0,5.90764,1.81651,85.56982,0,0,0,0,0,0,0.04647,0.03207,0,0
0.0001,659.77754,344554572.01729,69057.20459,5.90764,1.81651,85.5277,0.0,0.0,11495.49431,3559.83062,2e-05,2e-05,0.04645,0.03205,20191766.73316,0.0
0.0002,659.90182,344670241.21587,69080.38754,5.90535,1.815,85.48557,22.93025,38.02128,11481.31865,10617.82377,4e-05,4e-05,0.04643,0.03203,20198545.23986,0.0
0.0003,660.0259,344785744.79349,69103.53729,5.90305,1.81349,85.44342,22.94178,38.03406,11467.1694,10608.09721,6e-05,6e-05,0.04641,0.03201,20205314.04076,0.0
0.0004,660.14979,344901082.55312,69126.65381,5.90076,1.81198,85.40125,22.9533,38.04682,11453.04651,10598.38017,8e-05,8e-05,0.04639,0.03199,20212073.1243,0.0
0.0005,660.27348,345016254.29798,69149.73706,5.89846,1.81047,85.35908,22.96482,38.05957,11438.94989,10588.67263,0.00011,0.00011,0.04637,0.03197,20218822.47896,0.0
0.0006,660.39697,345131259.83151,69172.787,5.89617,1.80896,85.31689,22.97633,38.07229,11424.87947,10578.97459,0.00013,0.00013,0.04634,0.03195,20225562.09322,0.0
0.0007,660.52027,345246098.95738,69195.80358,5.89387,1.80745,85.27468,22.98783,38.085,11410.83518,10569.28603,0.00015,0.00015,0.04632,0.03192,20232291.95557,0.0
0.0008,660.64337,345360771.4795,69218.78677,5.89157,1.80594,85.23246,22.99932,38.09769,11396.81694,10559.60694,0.00017,0.00017,0.0463,0.0319,20239012.05452,0.0
0.0009,660.76627,345475277.202,69241.73653,5.88927,1.80443,85.19023,23.01081,38.11036,11382.82467,10549.93729,0.00019,0.00019,0.04628,0.03188,20245722.37859,0.0
0.001,660.88898,345589615.92926,69264.65283,5.88696,1.80292,85.14798,23.02229,38.12301,11368.85831,10540.27709,0.00021,0.00021,0.04626,0.03186,20252422.91632,0.0
0.0011,661.01149,345703787.46589,69287.53561,5.88466,1.80141,85.10572,23.03375,38.13565,11354.91778,10530.62631,0.00023,0.00023,0.04624,0.03184,20259113.65625,0.0
0.0012,661.1338,345817791.61672,69310.38484,5.88236,1.7999,85.06344,23.04521,38.14826,11341.00301,10520.98493,0.00025,0.00025,0.04622,0.03182,20265794.58696,0.0
0.0013,661.25591,345931628.18683,69333.20049,5.88005,1.79839,85.02115,23.05667,38.16086,11327.11392,10511.35296,0.00028,0.00028,0.0462,0.0318,20272465.69701,0.0
0.0014,661.37783,346045296.98154,69355.98251,5.87774,1.79688,84.97885,23.06811,38.17343,11313.25044,10501.73036,0.0003,0.0003,0.04617,0.03178,20279126.97501,0.0
0.0015,661.49955,346158797.80637,69378.73086,5.87543,1.79537,84.93653,23.07955,38.18599,11299.41251,10492.11714,0.00032,0.00032,0.04615,0.03175,20285778.40954,0.0
0.0016,661.62107,346272130.46714,69401.44551,5.87313,1.79386,84.8942,23.09097,38.19854,11285.60004,10482.51327,0.00034,0.00034,0.04613,0.03173,20292419.98923,0.0
0.0017,661.74239,346385294.76984,69424.12642,5.87082,1.79235,84.85186,23.10239,38.21106,11271.81296,10472.91874,0.00036,0.00036,0.04611,0.03171,20299051.70272,0.0
0.0018,661.86352,346498290.52075,69446.77355,5.8685,1.79084,84.8095,23.1138,38.22356,11258.05121,10463.33353,0.00038,0.00038,0.04609,0.03169,20305673.53865,0.0
0.0019,661.98444,346611117.52636,69469.38685,5.86619,1.78933,84.76713,23.12521,38.23605,11244.31472,10453.75764,0.0004,0.0004,0.04607,0.03167,20312285.48568,0.0
0.002,662.10517,346723775.5934,69491.9663,5.86388,1.78781,84.72474,23.1366,38.24851,11230.60341,10444.19105,0.00042,0.00042,0.04605,0.03165,20318887.53248,0.0
0.0021,662.2257,346836264.52886,69514.51184,5.86156,1.7863,84.68234,23.14799,38.26096,11216.91721,10434.63375,0.00045,0.00045,0.04603,0.03163,20325479.66775,0.0
0.0022,662.34603,346948584.13995,69537.02345,5.85925,1.78479,84.63993,23.15936,38.27339,11203.25605,10425.08572,0.00047,0.00047,0.046,0.03161,20332061.88018,0.0
0.0023,662.46617,347060734.23413,69559.50109,5.85693,1.78328,84.5975,23.17073,38.2858,11189.61986,10415.54695,0.00049,0.00049,0.04598,0.03159,20338634.15849,0.0
0.0024,662.5861,347172714.6191,69581.94471,5.85461,1.78177,84.55506,23.18209,38.29819,11176.00857,10406.01742,0.00051,0.00051,0.04596,0.03156,20345196.49141,0.0
0.0025,662.70584,347284525.10279,69604.35428,5.85229,1.78026,84.5126,23.19345,38.31057,11162.42212,10396.49713,0.00053,0.00053,0.04594,0.03154,20351748.86769,0.0
0.0026,662.82537,347396165.4934,69626.72976,5.84997,1.77874,84.47013,23.20479,38.32292,11148.86042,10386.98606,0.00055,0.00055,0.04592,0.03152,20358291.27609,0.0
0.0027,662.94471,347507635.59934,69649.07111,5.84765,1.77723,84.42765,23.21613,38.33526,11135.32342,10377.48419,0.00057,0.00057,0.0459,0.0315,20364823.70538,0.0
0.0028,663.06385,347618935.2293,69671.37829,5.84533,1.77572,84.38515,23.22746,38.34758,11121.81105,10367.99151,0.00059,0.00059,0.04588,0.03148,20371346.14434,0.0
0.0029,663.18278,347730064.19217,69693.65126,5.843,1.77421,84.34264,23.23877,38.35987,11108.32323,10358.50801,0.00062,0.00062,0.04586,0.03146,20377858.58178,0.0
0.003,663.30152,347841022.29713,69715.89,5.84068,1.7727,84.30012,23.25008,38.37215,11094.8599,10349.03368,0.00064,0.00064,0.04583,0.03144,20384361.00652,0.0
0.0031,663.42006,347951809.35357,69738.09444,5.83835,1.77118,84.25759,23.26139,38.38441,11081.42099,10339.5685,0.00066,0.00066,0.04581,0.03141,20390853.40738,0.0
0.0032,663.5384,348062425.17114,69760.26457,5.83603,1.76967,84.21504,23.27268,38.39666,11068.00643,10330.11246,0.00068,0.00068,0.04579,0.03139,20397335.77321,0.0
0.0033,663.65654,348172869.55975,69782.40034,5.8337,1.76816,84.17247,23.28397,38.40888,11054.61616,10320.66554,0.0007,0.0007,0.04577,0.03137,20403808.09288,0.0
0.0034,663.77448,348283142.32953,69804.50172,5.83137,1.76665,84.12989,23.29524,38.42108,11041.2501,10311.22774,0.00072,0.00072,0.04575,0.03135,20410270.35525,0.0
0.0035,663.89222,348393243.29088,69826.56866,5.82904,1.76513,84.0873,23.30651,38.43327,11027.90819,10301.79904,0.00074,0.00074,0.04573,0.03133,20416722.54921,0.0
0.0036,664.00976,348503172.25443,69848.60112,5.82671,1.76362,84.0447,23.31777,38.44543,11014.59037,10292.37942,0.00076,0.00076,0.04571,0.03131,20423164.66366,0.0
