Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,308.62154,193902414.49748,0,0.73128,2.45596,2.1721,66.79607,0,0,0,0,0,0,0,0,0,0.01542,0.01762,0.02708,0,0
0.0001,308.75653,194064097.59881,117476.92218,0.73128,2.45596,2.1721,66.73134,0.0,0.0,0.0,9620.0316,6490.96516,13912.50129,2e-05,2e-05,2e-05,0.01539,0.0176,0.02706,7115666.94929,0.0
0.0002,308.89144,194225748.32344,117574.77763,0.73038,2.45306,2.17071,66.66656,9.05436,38.04123,51.93435,9606.01734,8663.8289,58468.82528,4e-05,4e-05,4e-05,0.01537,0.01758,0.02704,7121594.12867,0.0
0.0003,309.02628,194387366.32265,117672.61326,0.72947,2.45016,2.16932,66.60172,9.06402,38.06947,51.97764,9592.03336,8660.31502,58361.88264,7e-05,7e-05,7e-05,0.01535,0.01755,0.02702,7127520.10813,0.0
0.0004,309.16103,194548951.2474,117770.42888,0.72856,2.44726,2.16792,66.53683,9.07367,38.09771,52.02093,9578.07954,8656.7979,58255.23479,9e-05,9e-05,9e-05,0.01533,0.01753,0.02699,7133444.87486,0.0
0.0005,309.2957,194710502.74839,117868.22427,0.72766,2.44436,2.16653,66.47189,9.08332,38.12593,52.0642,9564.15579,8653.27756,58148.88054,0.00011,0.00011,0.00011,0.0153,0.01751,0.02697,7139368.41605,0.0
0.0006,309.43028,194872020.47602,117965.99921,0.72675,2.44145,2.16514,66.40689,9.09297,38.15415,52.10747,9550.26199,8649.754,58042.81871,0.00013,0.00013,0.00013,0.01528,0.01749,0.02695,7145290.71889,0.0
0.0007,309.56479,195033504.08041,118063.75349,0.72584,2.43854,2.16374,66.34184,9.10262,38.18236,52.15073,9536.39803,8646.22722,57937.04812,0.00016,0.00016,0.00016,0.01526,0.01747,0.02693,7151211.77054,0.0
0.0008,309.69922,195194953.2114,118161.48691,0.72492,2.43563,2.16234,66.27673,9.11227,38.21055,52.19398,9522.56382,8642.69724,57831.56759,0.00018,0.00018,0.00018,0.01524,0.01744,0.02691,7157131.55818,0.0
0.0009,309.83356,195356367.51856,118259.19924,0.72401,2.43272,2.16094,66.21157,9.12191,38.23874,52.23722,9508.75923,8639.16405,57726.37595,0.0002,0.0002,0.0002,0.01522,0.01742,0.02688,7163050.06894,0.0
