Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,301.16258,52457947.98835,0,3.58997,84.68294,0,0,0,0.0355,0,0
0.0001,301.20283,52469309.57818,13452.25135,3.58997,84.66787,0.0,3234.03719,1e-05,0.03549,1184089.83905,0.0
0.0002,301.24307,52480669.74735,13455.16391,3.58933,84.6528,6.38699,3232.80886,1e-05,0.03549,1184346.20722,0.0
0.0003,301.2833,52492028.49417,13458.0761,3.58869,84.63773,6.38837,3231.58123,2e-05,0.03548,1184602.54329,0.0
0.0004,301.32353,52503385.81693,13460.98793,3.58806,84.62265,6.38976,3230.35429,3e-05,0.03547,1184858.84723,0.0
0.0005,301.36374,52514741.71393,13463.89939,3.58742,84.60758,6.39114,3229.12804,4e-05,0.03546,1185115.11899,0.0
0.0006,301.40395,52526096.18347,13466.81049,3.58678,84.59249,6.39252,3227.90248,4e-05,0.03546,1185371.35853,0.0
0.0007,301.44415,52537449.22385,13469.72121,3.58614,84.57741,6.3939,3226.67761,5e-05,0.03545,1185627.56582,0.0
0.0008,301.48434,52548800.83337,13472.63158,3.5855,84.56232,6.39529,3225.45343,6e-05,0.03544,1185883.74083,0.0
0.0009,301.52452,52560151.01033,13475.54157,3.58486,84.54723,6.39667,3224.22994,7e-05,0.03543,1186139.8835,0.0
0.001,301.5647,52571499.75302,13478.4512,3.58422,84.53213,6.39805,3223.00713,7e-05,0.03543,1186395.9938,0.0
0.0011,301.60486,52582847.05974,13481.36046,3.58358,84.51703,6.39943,3221.78502,8e-05,0.03542,1186652.0717,0.0
0.0012,301.64502,52594192.9288,13484.26935,3.58294,84.50193,6.40081,3220.56359,9e-05,0.03541,1186908.11716,0.0
0.0013,301.68517,52605537.3585,13487.17787,3.5823,84.48682,6.40219,3219.34285,0.0001,0.03541,1187164.13013,0.0
0.0014,301.72531,52616880.34712,13490.08602,3.58166,84.47172,6.40358,3218.12279,0.0001,0.0354,1187420.11058,0.0
0.0015,301.76544,52628221.89297,13492.9938,3.58102,84.4566,6.40496,3216.90342,0.00011,0.03539,1187676.05848,0.0
0.0016,301.80556,52639561.99436,13495.90122,3.58038,84.44149,6.40634,3215.68473,0.00012,0.03538,1187931.97377,0.0
0.0017,301.84568,52650900.64957,13498.80826,3.57974,84.42637,6.40772,3214.46673,0.00013,0.03538,1188187.85643,0.0
0.0018,301.88579,52662237.85691,13501.71493,3.5791,84.41125,6.4091,3213.2494,0.00013,0.03537,1188443.70641,0.0
0.0019,301.92588,52673573.61468,13504.62123,3.57845,84.39612,6.41048,3212.03277,0.00014,0.03536,1188699.52369,0.0
0.002,301.96597,52684907.92117,13507.52715,3.57781,84.381,6.41186,3210.81681,0.00015,0.03535,1188955.3082,0.0
0.0021,302.00606,52696240.77469,13510.43271,3.57717,84.36587,6.41324,3209.60154,0.00016,0.03535,1189211.05993,0.0
0.0022,302.04613,52707572.17352,13513.33789,3.57653,84.35073,6.41462,3208.38694,0.00016,0.03534,1189466.77884,0.0
0.0023,302.08619,52718902.11599,13516.24269,3.57589,84.33559,6.416,3207.17303,0.00017,0.03533,1189722.46487,0.0
0.0024,302.12625,52730230.60037,13519.14713,3.57525,84.32045,6.41738,3205.9598,0.00018,0.03532,1189978.118,0.0
0.0025,302.1663,52741557.62497,13522.05119,3.5746,84.30531,6.41876,3204.74724,0.00019,0.03532,1190233.73819,0.0
0.0026,302.20634,52752883.1881,13524.95487,3.57396,84.29016,6.42014,3203.53536,0.00019,0.03531,1190489.3254,0.0
