Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,258.91474,12795964.68091,0,4.07625,0.62469,83.40482,0,0,0,0,0,0,0.04101,0.01487,0,0
0.0001,258.91933,12796300.15919,4861.27069,4.07625,0.62469,83.40097,0.0,0.0,783.13075,331.30282,0.0,0.0,0.041,0.01487,919543.67208,0.0
0.0002,258.92393,12796635.59202,4861.39812,4.07611,0.62462,83.39713,1.47445,2.16627,783.04912,1142.41198,0.0,0.0,0.041,0.01486,919567.77632,0.0
0.0003,258.92852,12796970.9794,4861.52553,4.07596,0.62456,83.39329,1.4745,2.16632,782.96749,1142.29521,0.0,0.0,0.041,0.01486,919591.8773,0.0
0.0004,258.93312,12797306.32133,4861.65292,4.07581,0.62449,83.38944,1.47454,2.16638,782.88588,1142.17845,1e-05,1e-05,0.041,0.01486,919615.97501,0.0
0.0005,258.93771,12797641.61781,4861.7803,4.07567,0.62442,83.3856,1.47459,2.16644,782.80428,1142.0617,1e-05,1e-05,0.041,0.01486,919640.06945,0.0
0.0006,258.94231,12797976.86883,4861.90766,4.07552,0.62435,83.38176,1.47464,2.1665,782.72269,1141.94497,1e-05,1e-05,0.041,0.01486,919664.16063,0.0
0.0007,258.9469,12798312.07439,4862.03501,4.07537,0.62428,83.37791,1.47468,2.16655,782.64112,1141.82826,1e-05,1e-05,0.04099,0.01486,919688.24854,0.0
0.0008,258.95149,12798647.23448,4862.16233,4.07522,0.62421,83.37407,1.47473,2.16661,782.55956,1141.71156,1e-05,1e-05,0.04099,0.01485,919712.33319,0.0
0.0009,258.95608,12798982.34911,4862.28964,4.07508,0.62414,83.37022,1.47478,2.16667,782.47801,1141.59488,1e-05,1e-05,0.04099,0.01485,919736.41457,0.0
0.001,258.96067,12799317.41827,4862.41693,4.07493,0.62407,83.36638,1.47482,2.16672,782.39647,1141.47821,2e-05,2e-05,0.04099,0.01485,919760.49268,0.0
0.0011,258.96526,12799652.44196,4862.54421,4.07478,0.624,83.36254,1.47487,2.16678,782.31495,1141.36156,2e-05,2e-05,0.04099,0.01485,919784.56752,0.0
0.0012,258.96985,12799987.42017,4862.67146,4.07463,0.62393,83.35869,1.47492,2.16684,782.23343,1141.24493,2e-05,2e-05,0.04099,0.01485,919808.63909,0.0
0.0013,258.97444,12800322.3529,4862.7987,4.07449,0.62386,83.35485,1.47496,2.16689,782.15194,1141.12831,2e-05,2e-05,0.04098,0.01485,919832.7074,0.0
0.0014,258.97902,12800657.24016,4862.92593,4.07434,0.62379,83.351,1.47501,2.16695,782.07045,1141.01171,2e-05,2e-05,0.04098,0.01484,919856.77244,0.0
0.0015,258.98361,12800992.08193,4863.05313,4.07419,0.62373,83.34716,1.47505,2.16701,781.98898,1140.89512,2e-05,2e-05,0.04098,0.01484,919880.83421,0.0
0.0016,258.9882,12801326.87821,4863.18032,4.07404,0.62366,83.34331,1.4751,2.16706,781.90751,1140.77855,3e-05,3e-05,0.04098,0.01484,919904.89271,0.0
0.0017,258.99278,12801661.629,4863.30749,4.0739,0.62359,83.33947,1.47515,2.16712,781.82607,1140.66199,3e-05,3e-05,0.04098,0.01484,919928.94794,0.0
0.0018,258.99737,12801996.3343,4863.43464,4.07375,0.62352,83.33562,1.47519,2.16718,781.74463,1140.54545,3e-05,3e-05,0.04098,0.01484,919952.99991,0.0
0.0019,259.00195,12802330.9941,4863.56178,4.0736,0.62345,83.33178,1.47524,2.16723,781.66321,1140.42893,3e-05,3e-05,0.04097,0.01484,919977.0486,0.0
0.002,259.00653,12802665.6084,4863.6889,4.07345,0.62338,83.32793,1.47529,2.16729,781.5818,1140.31242,3e-05,3e-05,0.04097,0.01484,920001.09402,0.0
0.0021,259.01112,12803000.1772,4863.816,4.07331,0.62331,83.32409,1.47533,2.16735,781.5004,1140.19593,3e-05,3e-05,0.04097,0.01483,920025.13618,0.0
0.0022,259.0157,12803334.7005,4863.94308,4.07316,0.62324,83.32024,1.47538,2.1674,781.41901,1140.07945,4e-05,4e-05,0.04097,0.01483,920049.17506,0.0
0.0023,259.02028,12803669.17829,4864.07015,4.07301,0.62317,83.31639,1.47542,2.16746,781.33764,1139.96299,4e-05,4e-05,0.04097,0.01483,920073.21068,0.0
0.0024,259.02486,12804003.61057,4864.1972,4.07286,0.6231,83.31255,1.47547,2.16752,781.25628,1139.84655,4e-05,4e-05,0.04097,0.01483,920097.24302,0.0
0.0025,259.02944,12804337.99733,4864.32423,4.07271,0.62303,83.3087,1.47552,2.16757,781.17493,1139.73012,4e-05,4e-05,0.04097,0.01483,920121.27209,0.0
0.0026,259.03402,12804672.33857,4864.45125,4.07257,0.62296,83.30486,1.47556,2.16763,781.0936,1139.61371,4e-05,4e-05,0.04096,0.01483,920145.2979,0.0
