Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,102.31083,4978108.27497,0,1.30652,70.72652,0,0,0,0.02575,0,0
0.0001,102.31059,4978089.29391,2240.90995,1.30652,70.71969,0.0,350.66052,0.0,0.02575,471554.11011,0.0
0.0002,102.31035,4978070.27357,2240.90139,1.30639,70.71287,1.26026,350.61405,0.0,0.02574,471552.30839,0.0
0.0003,102.3101,4978051.21396,2240.89281,1.30626,70.70605,1.26026,350.56759,1e-05,0.02574,471550.50295,0.0
0.0004,102.30986,4978032.11507,2240.88422,1.30614,70.69923,1.26025,350.52114,1e-05,0.02574,471548.69379,0.0
0.0005,102.30962,4978012.97691,2240.8756,1.30601,70.69241,1.26025,350.47469,1e-05,0.02574,471546.88091,0.0
0.0006,102.30937,4977993.79948,2240.86697,1.30589,70.68558,1.26024,350.42825,1e-05,0.02573,471545.06431,0.0
0.0007,102.30913,4977974.58278,2240.85832,1.30576,70.67876,1.26024,350.38182,2e-05,0.02573,471543.24399,0.0
0.0008,102.30888,4977955.3268,2240.84965,1.30563,70.67194,1.26023,350.33539,2e-05,0.02573,471541.41995,0.0
0.0009,102.30864,4977936.03156,2240.84096,1.30551,70.66512,1.26023,350.28898,2e-05,0.02573,471539.59219,0.0
0.001,102.30839,4977916.69704,2240.83226,1.30538,70.6583,1.26022,350.24256,2e-05,0.02573,471537.76071,0.0
0.0011,102.30814,4977897.32325,2240.82354,1.30526,70.65147,1.26022,350.19616,2e-05,0.02572,471535.92551,0.0
0.0012,102.3079,4977877.9102,2240.8148,1.30513,70.64465,1.26021,350.14976,3e-05,0.02572,471534.08659,0.0
0.0013,102.30765,4977858.45787,2240.80604,1.305,70.63783,1.26021,350.10337,3e-05,0.02572,471532.24395,0.0
0.0014,102.3074,4977838.96628,2240.79727,1.30488,70.63101,1.2602,350.05699,3e-05,0.02572,471530.39759,0.0
0.0015,102.30715,4977819.43541,2240.78848,1.30475,70.62419,1.2602,350.01061,3e-05,0.02572,471528.54751,0.0
0.0016,102.3069,4977799.86528,2240.77967,1.30463,70.61736,1.26019,349.96424,3e-05,0.02571,471526.69372,0.0
0.0017,102.30665,4977780.25588,2240.77084,1.3045,70.61054,1.26019,349.91787,4e-05,0.02571,471524.8362,0.0
0.0018,102.3064,4977760.60721,2240.76199,1.30437,70.60372,1.26018,349.87152,4e-05,0.02571,471522.97496,0.0
0.0019,102.30615,4977740.91928,2240.75313,1.30425,70.5969,1.26018,349.82517,4e-05,0.02571,471521.11,0.0
0.002,102.3059,4977721.19208,2240.74425,1.30412,70.59008,1.26017,349.77882,4e-05,0.0257,471519.24132,0.0
0.0021,102.30565,4977701.42561,2240.73535,1.304,70.58326,1.26017,349.73249,5e-05,0.0257,471517.36893,0.0
0.0022,102.3054,4977681.61987,2240.72644,1.30387,70.57643,1.26016,349.68616,5e-05,0.0257,471515.49281,0.0
0.0023,102.30514,4977661.77488,2240.7175,1.30374,70.56961,1.26016,349.63984,5e-05,0.0257,471513.61297,0.0
0.0024,102.30489,4977641.89061,2240.70855,1.30362,70.56279,1.26015,349.59352,5e-05,0.0257,471511.72942,0.0
0.0025,102.30464,4977621.96708,2240.69959,1.30349,70.55597,1.26015,349.54721,5e-05,0.02569,471509.84214,0.0
0.0026,102.30438,4977602.00429,2240.6906,1.30337,70.54915,1.26014,349.50091,6e-05,0.02569,471507.95115,0.0
0.0027,102.30413,4977582.00223,2240.68159,1.30324,70.54233,1.26014,349.45462,6e-05,0.02569,471506.05644,0.0
0.0028,102.30387,4977561.96091,2240.67257,1.30311,70.5355,1.26013,349.40833,6e-05,0.02569,471504.158,0.0
0.0029,102.30362,4977541.88033,2240.66353,1.30299,70.52868,1.26013,349.36205,6e-05,0.02568,471502.25585,0.0
0.003,102.30336,4977521.76049,2240.65448,1.30286,70.52186,1.26012,349.31577,6e-05,0.02568,471500.34998,0.0
0.0031,102.3031,4977501.60138,2240.6454,1.30274,70.51504,1.26012,349.26951,7e-05,0.02568,471498.44039,0.0
0.0032,102.30284,4977481.40301,2240.63631,1.30261,70.50822,1.26011,349.22325,7e-05,0.02568,471496.52708,0.0
0.0033,102.30259,4977461.16538,2240.6272,1.30248,70.5014,1.26011,349.17699,7e-05,0.02568,471494.61005,0.0
0.0034,102.30233,4977440.88849,2240.61807,1.30236,70.49458,1.2601,349.13075,7e-05,0.02567,471492.68931,0.0
0.0035,102.30207,4977420.57234,2240.60893,1.30223,70.48775,1.2601,349.08451,8e-05,0.02567,471490.76484,0.0
0.0036,102.30181,4977400.21693,2240.59976,1.30211,70.48093,1.26009,349.03827,8e-05,0.02567,471488.83666,0.0
0.0037,102.30155,4977379.82226,2240.59058,1.30198,70.47411,1.26009,348.99205,8e-05,0.02567,471486.90475,0.0
0.0038,102.30129,4977359.38833,2240.58138,1.30185,70.46729,1.26008,348.94583,8e-05,0.02567,471484.96913,0.0
0.0039,102.30103,4977338.91514,2240.57217,1.30173,70.46047,1.26008,348.89961,8e-05,0.02566,471483.02979,0.0
0.004,102.30077,4977318.4027,2240.56293,1.3016,70.45365,1.26007,348.85341,9e-05,0.02566,471481.08673,0.0
0.0041,102.30051,4977297.85099,2240.55368,1.30148,70.44683,1.26007,348.80721,9e-05,0.02566,471479.13995,0.0
0.0042,102.30024,4977277.26003,2240.54441,1.30135,70.44001,1.26006,348.76102,9e-05,0.02566,471477.18945,0.0
0.0043,102.29998,4977256.62981,2240.53513,1.30122,70.43318,1.26005,348.71483,9e-05,0.02565,471475.23523,0.0
0.0044,102.29972,4977235.96034,2240.52582,1.3011,70.42636,1.26005,348.66865,0.0001,0.02565,471473.2773,0.0
0.0045,102.29945,4977215.25161,2240.5165,1.30097,70.41954,1.26004,348.62248,0.0001,0.02565,471471.31565,0.0
0.0046,102.29919,4977194.50362,2240.50716,1.30085,70.41272,1.26004,348.57632,0.0001,0.02565,471469.35027,0.0
0.0047,102.29893,4977173.71638,2240.4978,1.30072,70.4059,1.26003,348.53016,0.0001,0.02565,471467.38118,0.0
0.0048,102.29866,4977152.88988,2240.48843,1.30059,70.39908,1.26003,348.48401,0.0001,0.02564,471465.40837,0.0
0.0049,102.29839,4977132.02413,2240.47903,1.30047,70.39226,1.26002,348.43787,0.00011,0.02564,471463.43185,0.0
0.005,102.29813,4977111.11913,2240.46962,1.30034,70.38544,1.26002,348.39173,0.00011,0.02564,471461.4516,0.0
0.0051,102.29786,4977090.17487,2240.4602,1.30022,70.37862,1.26001,348.3456,0.00011,0.02564,471459.46764,0.0
0.0052,102.29759,4977069.19136,2240.45075,1.30009,70.3718,1.26001,348.29947,0.00011,0.02564,471457.47995,0.0
0.0053,102.29733,4977048.1686,2240.44129,1.29996,70.36497,1.26,348.25336,0.00011,0.02563,471455.48855,0.0
0.0054,102.29706,4977027.10658,2240.43181,1.29984,70.35815,1.26,348.20725,0.00012,0.02563,471453.49343,0.0
0.0055,102.29679,4977006.00532,2240.42231,1.29971,70.35133,1.25999,348.16114,0.00012,0.02563,471451.4946,0.0
0.0056,102.29652,4976984.8648,2240.41279,1.29959,70.34451,1.25999,348.11505,0.00012,0.02563,471449.49204,0.0
0.0057,102.29625,4976963.68503,2240.40326,1.29946,70.33769,1.25998,348.06896,0.00012,0.02562,471447.48577,0.0
0.0058,102.29598,4976942.46601,2240.3937,1.29933,70.33087,1.25998,348.02288,0.00013,0.02562,471445.47578,0.0
0.0059,102.29571,4976921.20774,2240.38414,1.29921,70.32405,1.25997,347.9768,0.00013,0.02562,471443.46207,0.0
0.006,102.29544,4976899.91022,2240.37455,1.29908,70.31723,1.25996,347.93073,0.00013,0.02562,471441.44464,0.0
0.0061,102.29517,4976878.57345,2240.36494,1.29896,70.31041,1.25996,347.88467,0.00013,0.02562,471439.4235,0.0
0.0062,102.29489,4976857.19744,2240.35532,1.29883,70.30359,1.25995,347.83861,0.00013,0.02561,471437.39863,0.0
0.0063,102.29462,4976835.78217,2240.34568,1.2987,70.29677,1.25995,347.79257,0.00014,0.02561,471435.37005,0.0
0.0064,102.29435,4976814.32766,2240.33602,1.29858,70.28995,1.25994,347.74652,0.00014,0.02561,471433.33775,0.0
0.0065,102.29407,4976792.8339,2240.32635,1.29845,70.28313,1.25994,347.70049,0.00014,0.02561,471431.30174,0.0
0.0066,102.2938,4976771.3009,2240.31665,1.29833,70.27631,1.25993,347.65446,0.00014,0.0256,471429.262,0.0
0.0067,102.29352,4976749.72865,2240.30694,1.2982,70.26949,1.25993,347.60844,0.00014,0.0256,471427.21855,0.0
0.0068,102.29325,4976728.11715,2240.29721,1.29807,70.26267,1.25992,347.56243,0.00015,0.0256,471425.17138,0.0
0.0069,102.29297,4976706.46641,2240.28747,1.29795,70.25585,1.25992,347.51642,0.00015,0.0256,471423.1205,0.0
0.007,102.2927,4976684.77642,2240.2777,1.29782,70.24903,1.25991,347.47042,0.00015,0.0256,471421.06589,0.0
0.0071,102.29242,4976663.04719,2240.26792,1.2977,70.24221,1.2599,347.42442,0.00015,0.02559,471419.00757,0.0
0.0072,102.29214,4976641.27871,2240.25812,1.29757,70.23538,1.2599,347.37844,0.00016,0.02559,471416.94553,0.0
0.0073,102.29186,4976619.47099,2240.24831,1.29744,70.22856,1.25989,347.33246,0.00016,0.02559,471414.87978,0.0
0.0074,102.29159,4976597.62403,2240.23847,1.29732,70.22174,1.25989,347.28648,0.00016,0.02559,471412.8103,0.0
0.0075,102.29131,4976575.73782,2240.22862,1.29719,70.21492,1.25988,347.24052,0.00016,0.02559,471410.73711,0.0
0.0076,102.29103,4976553.81237,2240.21875,1.29707,70.2081,1.25988,347.19456,0.00016,0.02558,471408.6602,0.0
0.0077,102.29075,4976531.84768,2240.20886,1.29694,70.20128,1.25987,347.1486,0.00017,0.02558,471406.57958,0.0
0.0078,102.29047,4976509.84375,2240.19896,1.29681,70.19446,1.25987,347.10266,0.00017,0.02558,471404.49523,0.0
0.0079,102.29019,4976487.80058,2240.18903,1.29669,70.18764,1.25986,347.05672,0.00017,0.02558,471402.40717,0.0
0.008,102.28991,4976465.71817,2240.17909,1.29656,70.18082,1.25986,347.01078,0.00017,0.02557,471400.3154,0.0
0.0081,102.28962,4976443.59652,2240.16914,1.29644,70.174,1.25985,346.96486,0.00018,0.02557,471398.2199,0.0
0.0082,102.28934,4976421.43563,2240.15916,1.29631,70.16718,1.25984,346.91894,0.00018,0.02557,471396.12069,0.0
0.0083,102.28906,4976399.2355,2240.14917,1.29618,70.16036,1.25984,346.87303,0.00018,0.02557,471394.01776,0.0
0.0084,102.28878,4976376.99613,2240.13916,1.29606,70.15354,1.25983,346.82712,0.00018,0.02557,471391.91112,0.0
0.0085,102.28849,4976354.71752,2240.12913,1.29593,70.14672,1.25983,346.78122,0.00018,0.02556,471389.80076,0.0
0.0086,102.28821,4976332.39968,2240.11908,1.29581,70.1399,1.25982,346.73533,0.00019,0.02556,471387.68668,0.0
0.0087,102.28792,4976310.0426,2240.10902,1.29568,70.13308,1.25982,346.68944,0.00019,0.02556,471385.56888,0.0
0.0088,102.28764,4976287.64628,2240.09893,1.29555,70.12626,1.25981,346.64357,0.00019,0.02556,471383.44737,0.0
0.0089,102.28735,4976265.21073,2240.08883,1.29543,70.11944,1.2598,346.59769,0.00019,0.02556,471381.32214,0.0
0.009,102.28706,4976242.73594,2240.07872,1.2953,70.11263,1.2598,346.55183,0.00019,0.02555,471379.1932,0.0
0.0091,102.28678,4976220.22191,2240.06858,1.29518,70.10581,1.25979,346.50597,0.0002,0.02555,471377.06054,0.0
0.0092,102.28649,4976197.66865,2240.05843,1.29505,70.09899,1.25979,346.46012,0.0002,0.02555,471374.92416,0.0
0.0093,102.2862,4976175.07616,2240.04826,1.29492,70.09217,1.25978,346.41427,0.0002,0.02555,471372.78406,0.0
0.0094,102.28591,4976152.44443,2240.03807,1.2948,70.08535,1.25978,346.36844,0.0002,0.02554,471370.64025,0.0
0.0095,102.28563,4976129.77347,2240.02787,1.29467,70.07853,1.25977,346.32261,0.00021,0.02554,471368.49273,0.0
0.0096,102.28534,4976107.06328,2240.01764,1.29455,70.07171,1.25976,346.27678,0.00021,0.02554,471366.34148,0.0
0.0097,102.28505,4976084.31385,2240.0074,1.29442,70.06489,1.25976,346.23096,0.00021,0.02554,471364.18652,0.0
0.0098,102.28476,4976061.5252,2239.99714,1.29429,70.05807,1.25975,346.18515,0.00021,0.02554,471362.02784,0.0
0.0099,102.28447,4976038.69731,2239.98687,1.29417,70.05125,1.25975,346.13935,0.00021,0.02553,471359.86545,0.0
0.01,102.28417,4976015.83019,2239.97658,1.29404,70.04443,1.25974,346.09355,0.00022,0.02553,471357.69934,0.0
0.0101,102.28388,4975992.92384,2239.96626,1.29392,70.03761,1.25974,346.04776,0.00022,0.02553,471355.52952,0.0
0.0102,102.28359,4975969.97826,2239.95593,1.29379,70.03079,1.25973,346.00198,0.00022,0.02553,471353.35598,0.0
0.0103,102.2833,4975946.99345,2239.94559,1.29366,70.02397,1.25972,345.9562,0.00022,0.02552,471351.17872,0.0
0.0104,102.283,4975923.96941,2239.93522,1.29354,70.01715,1.25972,345.91043,0.00022,0.02552,471348.99775,0.0
0.0105,102.28271,4975900.90615,2239.92484,1.29341,70.01033,1.25971,345.86467,0.00023,0.02552,471346.81306,0.0
0.0106,102.28242,4975877.80365,2239.91444,1.29329,70.00351,1.25971,345.81891,0.00023,0.02552,471344.62465,0.0
0.0107,102.28212,4975854.66193,2239.90402,1.29316,69.99669,1.2597,345.77316,0.00023,0.02552,471342.43253,0.0
0.0108,102.28183,4975831.48098,2239.89359,1.29303,69.98988,1.2597,345.72742,0.00023,0.02551,471340.23669,0.0
0.0109,102.28153,4975808.2608,2239.88314,1.29291,69.98306,1.25969,345.68168,0.00024,0.02551,471338.03714,0.0
0.011,102.28123,4975785.0014,2239.87267,1.29278,69.97624,1.25968,345.63595,0.00024,0.02551,471335.83387,0.0
0.0111,102.28094,4975761.70277,2239.86218,1.29266,69.96942,1.25968,345.59023,0.00024,0.02551,471333.62689,0.0
0.0112,102.28064,4975738.36492,2239.85167,1.29253,69.9626,1.25967,345.54451,0.00024,0.02551,471331.41619,0.0
0.0113,102.28034,4975714.98784,2239.84115,1.2924,69.95578,1.25967,345.4988,0.00024,0.0255,471329.20177,0.0
0.0114,102.28004,4975691.57154,2239.83061,1.29228,69.94896,1.25966,345.4531,0.00025,0.0255,471326.98364,0.0
0.0115,102.27974,4975668.11602,2239.82005,1.29215,69.94214,1.25965,345.4074,0.00025,0.0255,471324.7618,0.0
0.0116,102.27944,4975644.62127,2239.80947,1.29203,69.93532,1.25965,345.36172,0.00025,0.0255,471322.53623,0.0
0.0117,102.27914,4975621.0873,2239.79888,1.2919,69.9285,1.25964,345.31603,0.00025,0.02549,471320.30696,0.0
0.0118,102.27884,4975597.51411,2239.78827,1.29178,69.92169,1.25964,345.27036,0.00025,0.02549,471318.07396,0.0
0.0119,102.27854,4975573.90169,2239.77764,1.29165,69.91487,1.25963,345.22469,0.00026,0.02549,471315.83726,0.0
0.012,102.27824,4975550.25006,2239.76699,1.29152,69.90805,1.25962,345.17903,0.00026,0.02549,471313.59683,0.0
0.0121,102.27794,4975526.5592,2239.75633,1.2914,69.90123,1.25962,345.13337,0.00026,0.02549,471311.3527,0.0
0.0122,102.27764,4975502.82913,2239.74565,1.29127,69.89441,1.25961,345.08772,0.00026,0.02548,471309.10484,0.0
0.0123,102.27733,4975479.05983,2239.73495,1.29115,69.88759,1.25961,345.04208,0.00027,0.02548,471306.85327,0.0
0.0124,102.27703,4975455.25132,2239.72423,1.29102,69.88077,1.2596,344.99644,0.00027,0.02548,471304.59799,0.0
0.0125,102.27673,4975431.40358,2239.71349,1.29089,69.87395,1.25959,344.95082,0.00027,0.02548,471302.33899,0.0
0.0126,102.27642,4975407.51663,2239.70274,1.29077,69.86714,1.25959,344.90519,0.00027,0.02548,471300.07628,0.0
0.0127,102.27612,4975383.59046,2239.69197,1.29064,69.86032,1.25958,344.85958,0.00027,0.02547,471297.80985,0.0
0.0128,102.27581,4975359.62508,2239.68118,1.29052,69.8535,1.25958,344.81397,0.00028,0.02547,471295.53971,0.0
0.0129,102.27551,4975335.62048,2239.67038,1.29039,69.84668,1.25957,344.76837,0.00028,0.02547,471293.26585,0.0
0.013,102.2752,4975311.57666,2239.65955,1.29026,69.83986,1.25956,344.72277,0.00028,0.02547,471290.98828,0.0
0.0131,102.27489,4975287.49362,2239.64871,1.29014,69.83304,1.25956,344.67719,0.00028,0.02546,471288.70699,0.0
0.0132,102.27459,4975263.37137,2239.63785,1.29001,69.82623,1.25955,344.6316,0.00029,0.02546,471286.42199,0.0
0.0133,102.27428,4975239.20991,2239.62698,1.28989,69.81941,1.25955,344.58603,0.00029,0.02546,471284.13327,0.0
0.0134,102.27397,4975215.00923,2239.61608,1.28976,69.81259,1.25954,344.54046,0.00029,0.02546,471281.84084,0.0
0.0135,102.27366,4975190.76934,2239.60517,1.28963,69.80577,1.25953,344.4949,0.00029,0.02546,471279.54469,0.0
0.0136,102.27335,4975166.49023,2239.59424,1.28951,69.79895,1.25953,344.44935,0.00029,0.02545,471277.24483,0.0
0.0137,102.27304,4975142.17192,2239.58329,1.28938,69.79213,1.25952,344.4038,0.0003,0.02545,471274.94125,0.0
0.0138,102.27273,4975117.81439,2239.57233,1.28926,69.78532,1.25951,344.35826,0.0003,0.02545,471272.63397,0.0
0.0139,102.27242,4975093.41765,2239.56135,1.28913,69.7785,1.25951,344.31272,0.0003,0.02545,471270.32296,0.0
0.014,102.27211,4975068.98169,2239.55035,1.289,69.77168,1.2595,344.2672,0.0003,0.02544,471268.00824,0.0
0.0141,102.2718,4975044.50653,2239.53933,1.28888,69.76486,1.2595,344.22167,0.0003,0.02544,471265.68981,0.0
0.0142,102.27149,4975019.99216,2239.52829,1.28875,69.75804,1.25949,344.17616,0.00031,0.02544,471263.36766,0.0
0.0143,102.27117,4974995.43858,2239.51724,1.28863,69.75123,1.25948,344.13065,0.00031,0.02544,471261.0418,0.0
0.0144,102.27086,4974970.84579,2239.50617,1.2885,69.74441,1.25948,344.08515,0.00031,0.02544,471258.71223,0.0
0.0145,102.27055,4974946.21379,2239.49508,1.28837,69.73759,1.25947,344.03966,0.00031,0.02543,471256.37894,0.0
0.0146,102.27023,4974921.54258,2239.48398,1.28825,69.73077,1.25947,343.99417,0.00032,0.02543,471254.04194,0.0
0.0147,102.26992,4974896.83216,2239.47285,1.28812,69.72395,1.25946,343.94869,0.00032,0.02543,471251.70122,0.0
0.0148,102.2696,4974872.08254,2239.46171,1.288,69.71714,1.25945,343.90321,0.00032,0.02543,471249.35679,0.0
0.0149,102.26929,4974847.29371,2239.45055,1.28787,69.71032,1.25945,343.85775,0.00032,0.02543,471247.00864,0.0
0.015,102.26897,4974822.46568,2239.43938,1.28774,69.7035,1.25944,343.81229,0.00032,0.02542,471244.65679,0.0
0.0151,102.26865,4974797.59844,2239.42818,1.28762,69.69668,1.25943,343.76683,0.00033,0.02542,471242.30121,0.0
0.0152,102.26833,4974772.692,2239.41697,1.28749,69.68986,1.25943,343.72139,0.00033,0.02542,471239.94193,0.0
0.0153,102.26802,4974747.74635,2239.40574,1.28737,69.68305,1.25942,343.67594,0.00033,0.02542,471237.57893,0.0
0.0154,102.2677,4974722.7615,2239.39449,1.28724,69.67623,1.25942,343.63051,0.00033,0.02541,471235.21222,0.0
0.0155,102.26738,4974697.73744,2239.38323,1.28711,69.66941,1.25941,343.58508,0.00033,0.02541,471232.84179,0.0
