Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,276.14955,267173542.93488,0,4.71693,0.93968,3.09351,67.90075,0,0,0,0,0,0,0,0,0,0.02634,0.01107,0.03526,0,0
0.0001,276.25484,267363072.01824,229909.55072,4.71693,0.93968,3.09351,67.82057,0.0,0.0,0.0,9455.83735,16280.99015,8524.5053,3e-05,3e-05,3e-05,0.02631,0.01104,0.03523,3344796.73986,0.0
0.0002,276.35999,267552421.15726,230072.37491,4.71177,0.93741,3.0906,67.74032,51.5385,74.20777,103.33402,9448.01727,54998.52456,36006.16864,6e-05,6e-05,6e-05,0.02628,0.01101,0.0352,3347165.55758,0.0
0.0003,276.46501,267741589.72904,230235.04383,4.70662,0.93514,3.08768,67.66002,51.56932,74.26729,103.4073,9440.20127,54880.91761,35958.45031,9e-05,9e-05,9e-05,0.02625,0.01098,0.03517,3349532.11635,0.0
0.0004,276.5699,267930577.11084,230397.55694,4.70146,0.93287,3.08477,67.57966,51.60011,74.32676,103.4805,9432.38934,54763.68799,35910.80595,0.00012,0.00012,0.00012,0.02622,0.01095,0.03514,3351896.40837,0.0
0.0005,276.67465,268119382.6801,230559.9137,4.69629,0.93059,3.08185,67.49925,51.63087,74.3862,103.55363,9424.58149,54646.83394,35863.23537,0.00015,0.00015,0.00015,0.02619,0.01092,0.03511,3354258.42586,0.0
0.0006,276.77926,268308005.81439,230722.11359,4.69113,0.92832,3.07893,67.41878,51.66161,74.44559,103.62669,9416.77772,54530.35371,35815.7384,0.00018,0.00018,0.00018,0.02616,0.01089,0.03507,3356618.16103,0.0
0.0007,276.88374,268496445.89145,230884.15606,4.68596,0.92603,3.07601,67.33825,51.69231,74.50495,103.69968,9408.97802,54414.24557,35768.31484,0.00021,0.00021,0.00021,0.02613,0.01085,0.03504,3358975.6061,0.0
0.0008,276.98809,268684702.28922,231046.04059,4.68079,0.92375,3.07309,67.25767,51.72298,74.56426,103.7726,9401.1824,54298.5078,35720.96452,0.00025,0.00025,0.00025,0.0261,0.01082,0.03501,3361330.75328,0.0
0.0009,277.09229,268872774.38578,231207.76663,4.67561,0.92146,3.07017,67.17703,51.75362,74.62354,103.84545,9393.39084,54183.13867,35673.68726,0.00028,0.00028,0.00028,0.02607,0.01079,0.03498,3363683.5948,0.0
0.001,277.19637,269060661.55939,231369.33365,4.67043,0.91917,3.06725,67.09633,51.78423,74.68277,103.91823,9385.60336,54068.13648,35626.48287,0.00031,0.00031,0.00031,0.02604,0.01076,0.03495,3366034.12287,0.0
0.0011,277.3003,269248363.1885,231530.74112,4.66525,0.91688,3.06432,67.01558,51.81481,74.74196,103.99094,9377.81994,53953.49953,35579.35117,0.00034,0.00034,0.00034,0.026,0.01073,0.03492,3368382.32972,0.0
0.0012,277.4041,269435878.65175,231691.9885,4.66007,0.91458,3.0614,66.93477,51.84536,74.80111,104.06357,9370.04059,53839.22615,35532.29199,0.00037,0.00037,0.00037,0.02597,0.0107,0.03489,3370728.20757,0.0
